Timestamp,gender,edu_level,study_time,study_method,tech_use,best_time,break_freq,prep_method,sleep_time,exercise,diet,focus,phone_use,env,sm_use,gpa_year,gpa_semester
4/4/2025 10:48:35,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,No specific diet,Yes,Yes,Silent,< 15 min/hour,6.7,5.5
4/4/2025 10:51:20,Male,University,> 4 hours,"Self-study, Tutoring, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,3-4 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,9.6,9.6
4/4/2025 10:56:01,Male,University,> 4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,Yes,Yes,Silent,> 30 min/hour,7.6,8.325
4/4/2025 11:02:49,Male,University,1-2 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Silent,> 30 min/hour,7.0,7.0
4/4/2025 12:21:38,Male,University,2-4 hours,"Self-study, Online learning",Yes,Morning,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,Yes,Yes,Soft background music,15-30 min/hour,9.0,8.0
4/4/2025 12:21:46,Male,University,2-4 hours,Online learning,Yes,Evening,Almost no breaks,1-2 weeks before,4-6 hours,1-2 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,3.11,3.11
4/4/2025 12:22:42,Female,University,> 4 hours,"Self-study, Online learning",Yes,Morning,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,7.0,7.2
4/4/2025 12:26:20,Male,University,2-4 hours,"Self-study, Group study, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,No,Yes,Silent,< 15 min/hour,3.0,2.85
4/4/2025 12:28:28,Male,University,1-2 hours,Self-study,Yes,Late night,10-15 min/hour,1-2 weeks before,6-8 hours,Never,No specific diet,No,Yes,"Noisy (cafe, crowded library, etc.)",< 15 min/hour,7.0,7.0
4/4/2025 12:35:45,Male,University,2-4 hours,"Self-study, Tutoring",Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,No,No,Silent,< 15 min/hour,7.0,7.0
4/4/2025 13:18:34,Male,University,1-2 hours,Group study,Yes,Evening,15+ min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,No,Soft background music,15-30 min/hour,7.38,7.34
4/4/2025 14:25:01,Male,University,2-4 hours,Self-study,Yes,Morning,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,No,No,Soft background music,< 15 min/hour,8.5,8.5
4/4/2025 20:01:47,Male,University,1-2 hours,Self-study,Yes,Late night,15+ min/hour,1 day before,> 8 hours,3-4 times,Balanced diet,Yes,Yes,Silent,> 30 min/hour,4.4,5.1
4/5/2025 21:25:48,Male,University,1-2 hours,"Self-study, Online learning",Yes,Late night,10-15 min/hour,> 2 weeks before,6-8 hours,5+ times,"Special diet (Vegan, Keto, etc.)",Yes,Yes,Silent,< 15 min/hour,6.0,5.5
4/5/2025 21:53:10,Male,University,2-4 hours,Self-study,Yes,Late night,10-15 min/hour,1-2 weeks before,> 8 hours,1-2 times,Balanced diet,Yes,Yes,Soft background music,15-30 min/hour,4.2,3.68
4/6/2025 21:47:48,Female,University,2-4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,Yes,No,Soft background music,< 15 min/hour,7.0,6.0
4/6/2025 23:04:45,Male,University,1-2 hours,Group study,Yes,Morning,10-15 min/hour,> 2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Silent,Never,8.1,9.2
4/7/2025 21:55:13,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,Yes,Yes,Soft background music,15-30 min/hour,7.5,7.0
4/7/2025 22:23:31,Male,University,2-4 hours,"Self-study, Online learning",Yes,Morning,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,No specific diet,No,Yes,Silent,< 15 min/hour,8.0,7.0
4/9/2025 20:39:49,Male,University,> 4 hours,"Self-study, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,6-8 hours,Never,No specific diet,Yes,Yes,Silent,> 30 min/hour,7.0,5.0
4/9/2025 20:46:12,Male,University,2-4 hours,"Self-study, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,Yes,Yes,Silent,< 15 min/hour,6.0,5.0
4/9/2025 20:59:12,Female,High school,> 4 hours,"Self-study, Tutoring",Yes,Morning,5 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,No,No,Silent,Never,9.7,9.3
4/9/2025 22:23:02,Female,University,1-2 hours,Online learning,Yes,Afternoon,15+ min/hour,1 day before,4-6 hours,5+ times,Balanced diet,Yes,Yes,Silent,> 30 min/hour,4.6,4.6
4/9/2025 22:26:32,Male,University,2-4 hours,Self-study,Yes,Afternoon,15+ min/hour,> 2 weeks before,> 8 hours,1-2 times,Balanced diet,Yes,No,Soft background music,> 30 min/hour,7.3,7.3
4/9/2025 22:28:48,Female,University,2-4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Morning,10-15 min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,No,Yes,"Noisy (cafe, crowded library, etc.)",< 15 min/hour,8.7,6.0
4/9/2025 22:30:12,Female,High school,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,No,Yes,Soft background music,< 15 min/hour,8.0,9.0
4/9/2025 22:33:38,Male,University,2-4 hours,Online learning,Yes,Late night,Almost no breaks,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Silent,< 15 min/hour,7.1,7.5
4/9/2025 22:37:08,Male,University,> 4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,5+ times,No specific diet,No,Yes,Silent,15-30 min/hour,8.53,8.53
4/9/2025 22:43:27,Male,University,2-4 hours,Self-study,Yes,Evening,5 min/hour,> 2 weeks before,4-6 hours,1-2 times,No specific diet,No,No,Soft background music,Never,7.8,7.8
4/9/2025 22:53:25,Male,University,> 4 hours,"Self-study, Tutoring",Yes,Late night,5 min/hour,> 2 weeks before,4-6 hours,Never,No specific diet,Yes,No,Silent,Never,9.0,7.75
4/9/2025 22:54:56,Male,University,> 4 hours,"Self-study, Tutoring",Yes,Late night,5 min/hour,> 2 weeks before,4-6 hours,Never,No specific diet,No,No,Silent,Never,9.2,7.75
4/9/2025 23:00:39,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,No,Yes,Soft background music,< 15 min/hour,8.4,8.5
